window_start,avg_entropy
23301,0.542658
23401,0.510861
23501,0.585411
23601,0.536993
23701,0.591673
23801,0.551137
23901,0.573802
24001,0.515724
24101,0.516414
24201,0.591673
24301,0.545965
24401,0.597632
24501,0.572063
24601,0.518130
24701,0.503700
24801,0.562505
24901,0.525190
25001,0.570930
25101,0.491067
25201,0.591673
25301,0.566063
25401,0.565658
25501,0.526772
25601,0.537276
25701,0.479409
25801,0.544737
25901,0.550256
26001,0.591673
26101,0.502186
26201,0.591673
26301,0.563657
26401,0.570173
26501,0.553414
26601,0.591673
26701,0.591673
26801,0.534528
26901,0.537172
27001,0.540524
27101,0.591673
27201,0.555314
27301,0.529529
27401,0.537646
27501,0.543041
27601,0.591673
27701,0.591673
27801,0.566870
27901,0.591673
28001,0.499919
28101,0.543960
28201,0.962160
28301,0.879187
28401,0.771207
28501,0.821709
28601,0.591673
28701,0.714369
28801,0.822040
28901,0.620254
29001,0.693073
29101,0.744555
29201,0.680039
29301,0.591673
29401,0.613317
29501,0.712302
29601,0.591673
29701,0.672015
29801,0.730821
29901,0.829898
30001,0.863697
30101,0.819569
30201,0.591673
30301,0.591673
30401,0.591673
30501,0.790453
30601,0.859289
30701,0.629042
30801,0.915815
30901,0.607973
31001,0.861965
31101,0.775859
31201,1.129072
31301,0.683624
31401,0.831139
31501,0.816348
31601,0.742759
31701,0.806183
31801,0.840585
31901,0.713454
32001,0.928584
32101,0.953288
32201,0.922949
32301,0.832635
32401,0.755778
32501,0.707273
32601,0.808501
32701,0.591673
32801,0.591673
32901,0.875354
33001,0.808731
33101,0.656782
33201,0.910312
33301,0.768463
33401,0.615616
33501,0.591673
33601,0.999325
33701,0.999654
33801,0.855434
33901,0.850019
34001,0.716356
34101,0.732214
34201,0.591673
34301,0.721814
34401,0.831906
34501,0.591673
34601,0.792894
34701,1.132771
34801,1.002889
34901,0.888071
35001,0.655273
35101,0.899739
35201,0.788491
35301,0.735854
35401,0.915276
35501,0.761453
35601,0.783675
35701,0.879932
35801,0.774912
35901,0.744643
36001,0.947285
36101,0.907105
36201,0.973318
36301,0.817047
36401,0.698554
36501,0.677148
36601,0.638113
36701,0.621864
36801,1.012006
36901,0.656038
37001,0.796435
37101,1.042974
37201,0.746533
37301,0.745523
37401,0.711113
37501,0.626194
37601,0.940717
37701,1.067042
37801,0.659871
37901,0.631477
38001,0.738403
38101,0.915218
38201,0.777708
38301,0.591673
38401,0.893485
38501,0.905837
38601,0.818079
38701,0.729389
38801,0.818034
38901,0.644722
39001,0.683540
39101,0.730882
39201,0.682044
39301,0.841961
39401,0.631188
39501,0.650534
39601,1.106778
39701,0.986944
39801,0.962782
39901,0.967459
40001,0.644410
40101,0.870201
40201,0.741473
40301,0.651091
40401,0.757943
40501,0.629835
40601,0.671621
40701,0.629389
40801,0.665583
40901,0.892232
41001,0.848724
41101,0.906459
41201,0.673909
41301,0.798300
41401,0.676964
41501,0.944703
41601,0.799408
41701,0.591673
41801,0.701332
41901,0.707488
42001,0.591673
42101,0.809577
42201,0.941935
42301,0.712546
42401,0.610687
42501,0.912075
42601,0.636986
42701,0.789028
42801,0.764508
42901,0.678678
43001,0.773284
43101,0.765518
43201,0.924368
43301,1.088583
43401,0.591673
43501,0.730623
43601,0.801855
43701,0.756022
43801,0.796460
43901,0.858096
44001,0.715472
44101,0.675291
44201,0.965161
44301,0.591673
44401,0.861287
44501,0.937394
44601,0.760475
44701,0.835447
44801,0.620052
44901,0.899653
45001,0.805401
45101,0.954172
45201,0.850756
45301,0.733674
45401,0.591673
45501,0.968989
45601,0.771565
45701,0.816658
45801,0.831441
45901,0.591673
46001,0.646579
46101,0.687106
46201,0.735845
46301,0.816700
46401,0.613317
46501,0.867934
46601,1.057670
46701,1.035841
46801,1.144808
46901,1.171606
47001,0.952295
47101,0.591673
47201,0.869726
47301,0.872921
47401,0.930640
47501,0.591673
47601,0.768600
47701,0.973670
47801,0.907044
47901,0.726730
48001,0.742011
48101,0.653645
48201,0.759266
48301,1.066914
48401,0.860343
48501,1.111934
48601,0.837664
48701,1.197532
48801,1.125573
48901,0.777572
49001,0.827584
49101,0.780465
49201,0.892252
49301,0.759179
49401,1.013068
49501,0.889467
49601,0.831234
49701,0.955505
49801,1.123958
49901,0.941655
50001,0.732246
50101,0.754236
50201,0.789546
50301,0.656217
50401,0.626416
50501,1.094695
50601,0.922240
50701,0.922780
50801,1.054287
50901,1.066918
51001,0.863301
51101,0.841554
51201,0.778172
51301,0.880962
51401,0.814628
51501,0.785473
51601,0.591673
51701,0.632625
51801,0.747271
51901,0.896877
52001,0.833650
52101,0.607973
52201,0.806346
52301,1.023832
52401,0.648631
52501,0.616807
52601,0.591673
52701,0.789671
52801,0.696106
52901,0.785435
53001,0.591673
53101,0.776412
53201,0.957558
53301,1.035332
53401,0.822109
53501,1.088414
53601,0.771463
53701,0.927612
53801,0.636814
53901,0.810730
54001,0.765761
54101,0.600594
54201,0.952168
54301,0.701034
54401,0.880972
54501,0.659138
54601,0.908897
54701,0.591673
54801,0.639920
54901,0.768423
55001,0.719360
55101,0.790266
55201,0.705950
55301,1.113432
55401,1.110233
55501,0.673404
55601,1.065137
55701,0.747958
55801,1.156570
55901,0.917450
56001,0.716775
56101,0.874492
56201,1.197169
56301,1.156829
56401,1.161218
56501,0.690950
56601,0.902496
56701,0.836050
56801,0.843517
56901,0.902665
57001,1.145710
57101,0.961922
57201,0.925236
57301,0.735538
57401,0.591673
57501,0.591673
57601,0.901073
57701,0.807899
57801,0.792462
57901,0.887083
58001,0.997095
58101,0.693345
58201,0.837155
58301,0.729659
58401,0.843219
58501,0.633949
58601,0.858705
58701,0.721212
58801,0.751734
58901,0.895357
59001,0.877304
59101,0.804334
59201,0.793443
59301,1.045003
59401,0.741484
59501,0.928499
59601,0.788674
59701,0.591673
59801,0.907424
59901,0.674699
60001,0.715932
60101,0.810795
60201,0.591673
60301,0.748017
60401,0.673497
60501,0.687181
60601,0.693367
60701,0.746464
60801,0.730254
60901,0.729551
61001,0.591673
61101,0.696373
61201,0.666747
61301,0.591673
61401,0.681445
61501,0.713959
61601,0.826417
61701,0.662394
61801,0.747963
61901,0.591673
62001,0.653760
62101,1.040467
62201,0.789817
62301,0.726540
62401,0.842341
62501,0.642313
62601,0.717967
62701,0.936868
62801,0.858133
62901,0.593252
63001,0.789569
63101,0.683116
63201,0.764830
63301,0.848959
63401,0.711539
63501,0.667609
63601,0.742599
63701,0.965173
63801,0.752693
63901,0.602816
64001,0.668467
64101,0.728468
64201,0.899139
64301,0.837247
64401,0.771856
64501,0.883873
64601,0.834089
64701,0.898316
64801,0.743734
64901,0.765540
65001,0.591673
65101,0.977167
65201,0.957869
65301,0.790239
65401,0.647232
65501,0.968696
65601,0.683087
65701,0.661359
65801,0.659093
65901,0.789609
66001,0.591673
66101,0.591673
66201,0.591673
66301,1.078170
66401,1.124794
66501,0.908746
66601,0.591673
66701,0.591673
66801,0.850419
66901,0.591673
67001,0.591673
67101,0.591673
67201,0.591673
67301,0.591673
67401,0.773932
67501,0.604695
67601,0.591673
67701,0.846315
67801,0.667934
67901,0.626144
68001,0.591673
68101,0.694542
68201,0.953858
68301,1.086929
68401,0.718088
68501,0.791009
68601,0.720345
68701,1.062946
68801,0.962200
68901,0.927905
69001,0.961978
69101,0.780517
69201,0.591673
69301,0.591673
69401,0.647837
69501,0.635349
69601,0.591673
69701,1.034542
69801,0.626391
69901,0.812144
70001,0.591673
70101,0.677955
70201,0.727634
70301,0.684605
70401,0.950349
70501,0.894305
70601,0.730393
70701,0.723554
70801,0.896069
70901,0.655444
71001,0.742365
71101,0.662848
71201,0.772058
71301,0.692432
71401,0.877615
71501,0.591673
71601,0.932577
71701,0.773440
71801,0.926596
71901,0.872688
72001,0.745519
72101,0.783797
72201,0.733839
72301,0.591673
72401,0.591673
72501,0.736083
72601,0.591673
72701,0.711588
72801,0.693342
72901,0.703735
73001,0.993313
73101,0.673931
73201,0.746486
73301,0.678631
73401,0.591673
73501,0.731814
73601,0.846936
73701,0.821541
73801,0.865551
73901,0.922916
74001,0.774708
74101,0.761509
74201,0.777047
74301,0.591673
74401,0.713345
74501,0.591673
74601,0.636674
74701,0.626572
74801,0.928465
74901,0.901566
75001,0.943189
75101,0.694603
75201,1.102264
75301,1.055119
75401,0.993398
75501,1.058776
75601,0.637353
75701,0.760480
75801,0.776379
75901,0.591673
76001,0.735428
76101,0.591673
76201,0.853556
76301,0.947688
76401,0.802990
76501,0.719494
76601,0.629866
76701,0.687400
76801,0.557699
76901,0.520587
77001,0.706492
77101,0.549460
77201,0.558843
77301,0.514480
77401,0.561943
77501,0.559098
77601,0.532011
77701,0.463336
77801,0.579839
77901,0.591673
78001,0.584532
78101,0.564372
78201,0.571987
78301,0.543635
78401,0.591673
78501,0.547706
78601,0.588263
78701,0.551499
78801,0.579839
78901,0.495562
79001,0.566477
79101,0.590563
79201,0.593809
79301,0.560659
79401,0.591673
79501,0.591673
79601,0.591673
79701,0.563229
79801,0.638780
79901,0.584778
80001,0.591673
80101,0.512784
80201,0.916159
80301,0.834745
80401,0.905924
80501,0.668731
80601,0.854473
80701,0.733100
80801,0.803771
80901,0.805838
81001,0.793296
81101,0.679701
81201,0.742794
81301,0.648864
81401,0.836204
81501,0.702480
81601,0.671175
81701,0.582916
81801,0.587790
81901,0.658845
82001,0.682666
82101,0.701898
82201,0.563942
82301,0.783904
82401,0.771482
82501,0.977880
82601,0.945990
82701,0.726904
82801,0.645885
82901,1.054323
83001,1.004341
83101,0.852689
83201,0.804244
83301,0.716089
83401,0.752335
83501,0.698935
83601,0.773447
83701,0.795051
83801,0.716458
83901,0.701167
84001,0.747119
84101,0.823274
84201,0.891436
84301,0.650588
84401,0.753403
84501,0.975887
84601,0.904391
84701,0.918654
84801,0.702657
84901,0.664373
85001,0.826531
85101,0.922393
85201,0.747423
85301,0.792749
85401,0.648270
85501,0.779977
85601,0.694496
85701,0.699251
85801,0.634550
85901,0.703612
86001,0.619223
86101,0.619232
86201,0.599559
86301,0.586736
86401,0.599243
86501,0.591673
86601,0.591673
86701,0.860114
86801,0.715696
86901,0.661356
87001,0.673764
87101,0.609947
87201,0.766473
87301,0.799694
87401,0.640094
87501,0.620159
87601,0.648102
87701,0.661158
87801,0.633941
87901,0.654913
88001,0.606451
88101,0.604524
88201,0.685786
88301,0.704805
88401,0.664124
88501,0.584327
88601,0.570115
88701,0.626422
88801,0.618752
88901,0.611559
89001,0.591673
89101,0.629198
89201,0.722182
89301,0.862998
89401,0.939875
89501,0.729980
89601,0.689794
89701,0.971120
89801,0.638675
89901,0.846606
90001,0.899523
90101,0.803347
90201,0.666761
90301,0.731938
90401,0.698012
90501,0.833578
90601,1.102268
90701,0.864573
90801,0.624830
90901,0.799939
91001,0.591673
91101,0.788077
91201,1.038809
91301,0.769969
91401,0.688496
91501,0.632297
91601,0.591673
91701,0.630355
91801,0.763245
91901,0.973594
92001,0.766740
92101,0.645230
92201,0.629228
92301,0.863321
92401,0.827816
92501,0.689734
92601,0.580025
92701,0.647322
92801,0.676310
92901,0.570198
93001,0.565435
93101,0.610374
93201,0.612627
93301,0.672012
93401,0.642966
93501,0.554733
93601,0.492174
93701,0.559188
93801,0.591673
93901,0.538793
94001,0.577643
94101,0.495724
94201,0.588611
94301,0.594499
94401,0.570696
94501,0.593653
94601,0.587172
94701,0.566972
94801,0.974403
94901,0.593133
95001,0.559288
95101,0.613789
95201,0.659921
95301,0.599203
95401,0.572450
95501,0.637545
95601,0.615982
95701,0.591673
95801,0.563273
95901,0.582978
96001,0.567471
96101,0.680069
96201,0.588807
96301,0.579117
96401,0.558537
96501,0.623764
96601,0.601571
96701,0.608708
96801,0.734337
96901,0.619183
97001,0.596430
97101,0.629439
97201,0.628334
97301,0.634246
97401,0.561346
97501,0.570040
97601,0.582393
97701,0.602576
97801,0.770295
97901,0.731772
98001,0.644851
98101,0.683832
98201,0.612953
98301,0.624900
98401,0.618630
98501,0.686095
98601,0.731091
98701,0.719876
98801,0.952795
98901,0.816506
